Name,Rate
Southern: Karnataka: Kabini (Sancherla Tank) (m),695.71
Southern: Karnataka: Malaprabha (Renuka) (m),632.1
Southern: Karnataka: Narayanpur (m),491.46
Southern: Karnataka: Linganamakki (m),550.39
Southern: Karnataka: Bhadra (m),656.14
Southern: Karnataka: Ghataprabha (m),656.52
India Southern (m),"17,382.84"
India Central (m),"7,488.46"
India Northern (m),"3,337.65"
All India (m),"49,259.69"
India Eastern (m),"6,247.26"
India Western (m),"14,809.42"
Southern: Tamil Nadu: Sholayar (m),994.35
Western: Maharashtra: Khadakvasla (m),581.1
Western: Maharashtra: Girna (m),396.65
Western: Maharashtra: Yeldari (m),460.77
Western: Maharashtra: Mula (m),551.79
Western: Maharashtra: Isapur (m),439.73
Southern: Karnataka: Tungabhadra (m),495.29
Southern: Karnataka: Krishnaraja Sagra (m),751.98
Southern: Telangana: Lower Manair (m),277.51
Southern: Telangana: Sriramsagar (m),331.87
Southern: Andhra Pradesh: Somasila (m),100.17
Southern: Andhra Pradesh and Telangana: Nagarjuna Sagar (m),176.02
Southern: Andhra Pradesh and Telangana: Srisailam (m),256.4
Southern: Tamil Nadu: Aliyar (m),316.23
Southern: Tamil Nadu: Parambikulam (m),555.19
Southern: Tamil Nadu: Vaigai (m),278.87
Southern: Tamil Nadu: Mettur (Stanley) (m),238.4
Southern: Tamil Nadu: Lower Bhawani (m),278.82
Southern: Kerala: Malapmuzha (m),111.6
Southern: Kerala: Periyar (m),867.42
Western: Maharashtra: Bhima (Ujjani) (m),496.83
Central: Chhattisgarh: Mahanadi (m),348.05
Central: Chhattisgarh: Minimata Bangoi (m),355.81
Central: Madhya Pradesh: Barna (m),345.83
Central: Madhya Pradesh: Indira Sagar (m),256.32
Southern: Kerala: Kakki (m),976.71
Southern: Kerala: Idukki (m),729.03
Southern: Kerala: Idamalayar (m),162.34
Southern: Kerala: Kallada (Parappar) (m),111.59
Western: Maharashtra: Koyana (m),655.27
Western: Maharashtra: Jayakwadi (Paithon) (m),463.33
Western: Gujarat: Karjan (m),113.57
Western: Gujarat: Sardar Sarovar (m),124.61
Western: Gujarat: Panam (m),122.95
Western: Gujarat: Dantiwada (m),169.5
Central: Madhya Pradesh: Bansagar (m),338.44
Central: Madhya Pradesh: Bargi (m),420.94
Central: Madhya Pradesh: Tawa (m),350.39
Central: Madhya Pradesh: Gandhi Sagar (m),398.2
Central: Uttrakhand: Tehri (m),801.95
India Central: Uttrakhand: Ramganga (m),355.16
Central: Uttar Pradesh: Rihand (m),260.27
Central: Uttar Pradesh: Matatila (m),305.65
Western: Maharashtra: Bhandardara (m),744.64
Western: Maharashtra: Manikdoh (Kukadi) (m),699.85
Southern: Karnataka: Gerusoppa (m),49.17
Southern: Karnataka: Almatti (m),518.32
Southern: Karnataka: Vanivilas Sagar (m),650.64
Southern: Karnataka: Supa (m),551.1
Southern: Karnataka: Harangi (m),870.68
Southern: Karnataka: Hemavathy (m),886.29
Southern: Karnataka: Kabini (Sancherla Tank) (m),695.71
Southern: Karnataka: Malaprabha (Renuka) (m),632.1
Southern: Karnataka: Narayanpur (m),491.46
Southern: Karnataka: Linganamakki (m),550.39
Eastern: Jharkhand: Konar (m),425.09
Western: Gujarat: Damanaganga (m),78.85
Western: Gujarat: Bhadar (m),107.22
Western: Gujarat: Shetrunji (m),55.37
Western: Gujarat: Kadana (m),125.93
Western: Gujarat: Sabarmati (Dharoi) (m),182.9
Western: Maharashtra: Dudhganga (m),642.32
Western: Maharashtra: Dhom (m),743.95
Western: Maharashtra: Bhatsa (m),132.2
Western: Maharashtra: Upper Wardha (m),340.92
Western: Maharashtra: Pench (Totaladoh) (m),485.83
Western: Maharashtra: Upper Tapi (m),213.34
Southern: Karnataka: Bhadra (m),656.14
Southern: Karnataka: Ghataprabha (m),656.52
Southern: Karnataka: Tungabhadra (m),495.29
Southern: Karnataka: Krishnaraja Sagra (m),751.98
Southern: Telangana: Lower Manair (m),277.51
Southern: Telangana: Sriramsagar (m),331.87
Southern: Andhra Pradesh: Somasila (m),100.17
Southern: Andhra Pradesh and Telangana: Nagarjuna Sagar (m),176.02
Southern: Andhra Pradesh and Telangana: Srisailam (m),256.4
India Southern (m),"17,382.84"
India Central (m),"7,488.46"
India Northern (m),"3,337.65"
All India (m),"49,259.69"
India Eastern (m),"6,247.26"
India Western (m),"14,809.42"
Southern: Tamil Nadu: Sholayar (m),994.35
Southern: Tamil Nadu: Aliyar (m),316.23
Southern: Tamil Nadu: Parambikulam (m),555.19
Southern: Tamil Nadu: Vaigai (m),278.87
Western: Gujarat: Ukai (m),103.89
Eastern: Tripura: Gumti (m),90.55
Eastern: West Bengal: Kangsabati (m),133.12
Eastern: West Bengal: Mayurakshi (m),116.85
Eastern: Odisha: Upper Indravati (m),632.13
Eastern: Odisha: Upper Kolab (m),852.09
Eastern: Odisha: Machkund (Jalput) (m),830.58
Eastern: Odisha: Rengali (m),121.78
Eastern: Odisha: Salanadi (m),76.2
Western: Maharashtra: Upper Vaitarna (m),601.95
Western: Maharashtra: Khadakvasla (m),581.1
Western: Maharashtra: Girna (m),396.65
Western: Maharashtra: Yeldari (m),460.77
Western: Maharashtra: Mula (m),551.79
Western: Maharashtra: Isapur (m),439.73
Western: Maharashtra: Bhima (Ujjani) (m),496.83
Western: Maharashtra: Koyana (m),655.27
Western: Maharashtra: Jayakwadi (Paithon) (m),463.33
Central: Chhattisgarh: Mahanadi (m),348.05
Central: Chhattisgarh: Minimata Bangoi (m),355.81
Central: Madhya Pradesh: Barna (m),345.83
Central: Madhya Pradesh: Indira Sagar (m),256.32
Central: Madhya Pradesh: Bansagar (m),338.44
Central: Madhya Pradesh: Bargi (m),420.94
Central: Madhya Pradesh: Tawa (m),350.39
Central: Madhya Pradesh: Gandhi Sagar (m),398.2
Southern: Tamil Nadu: Mettur (Stanley) (m),238.4
Southern: Tamil Nadu: Lower Bhawani (m),278.82
Southern: Kerala: Malapmuzha (m),111.6
Southern: Kerala: Periyar (m),867.42
Southern: Kerala: Kakki (m),976.71
Southern: Kerala: Idukki (m),729.03
Southern: Kerala: Idamalayar (m),162.34
Southern: Kerala: Kallada (Parappar) (m),111.59
Eastern: Odisha: Balimela (m),451.47
Eastern: Odisha: Hirakud (m),191.19
Eastern: Jharkhand: Tilaiya (m),366.9
Eastern: Jharkhand: Konar (m),425.09
Eastern: Jharkhand: Panchet Hill (m),128.41
Eastern: Jharkhand: Maithon (m),148.68
Eastern: Jharkhand: Tenughat (m),260.09
Northern: Rajasthan: Jhakam (m),356.55
Northern: Rajasthan: Mahi Bajaj Sagar (m),276.05
Western: Gujarat: Karjan (m),113.57
Western: Gujarat: Sardar Sarovar (m),124.61
Western: Gujarat: Panam (m),122.95
Western: Gujarat: Dantiwada (m),169.5
Western: Gujarat: Damanaganga (m),78.85
Western: Gujarat: Bhadar (m),107.22
Western: Gujarat: Shetrunji (m),55.37
Western: Gujarat: Kadana (m),125.93
Central: Uttrakhand: Tehri (m),801.95
India Central: Uttrakhand: Ramganga (m),355.16
Central: Uttar Pradesh: Rihand (m),260.27
Central: Uttar Pradesh: Matatila (m),305.65
Western: Maharashtra: Bhandardara (m),744.64
Western: Maharashtra: Manikdoh (Kukadi) (m),699.85
Western: Maharashtra: Dudhganga (m),642.32
Western: Maharashtra: Dhom (m),743.95
Southern: Karnataka: Gerusoppa (m),49.17
Southern: Karnataka: Almatti (m),518.32
Southern: Karnataka: Vanivilas Sagar (m),650.64
Southern: Karnataka: Supa (m),551.1
Southern: Karnataka: Harangi (m),870.68
Southern: Karnataka: Hemavathy (m),886.29
Southern: Karnataka: Kabini (Sancherla Tank) (m),695.71
Southern: Karnataka: Malaprabha (Renuka) (m),632.1
Northern: Punjab: Thein (m),501.29
Northern: Himachal Pradesh: Pong Dam (m),408.45
Current Reservior Level: Northern: Himachal Pradesh: Gobind Sagar (Bhakra) (m),490.39
Current Reservior Level: Central Region: Chhattisgarh: Tandula (m),328.43
Current Reservior Level: Western Region: Maharashtra: Tillari (m),109.88
Current Reservior Level: Western Region: Maharashtra: Surya (m),116.5
Current Reservior Level: Eastern Region: Odisha: Hariharjhor (m),143.9
Western: Gujarat: Sabarmati (Dharoi) (m),182.9
Western: Gujarat: Ukai (m),103.89
Eastern: Tripura: Gumti (m),90.55
Eastern: West Bengal: Kangsabati (m),133.12
Eastern: West Bengal: Mayurakshi (m),116.85
Eastern: Odisha: Upper Indravati (m),632.13
Eastern: Odisha: Upper Kolab (m),852.09
Eastern: Odisha: Machkund (Jalput) (m),830.58
Western: Maharashtra: Bhatsa (m),132.2
Western: Maharashtra: Upper Wardha (m),340.92
Western: Maharashtra: Pench (Totaladoh) (m),485.83
Western: Maharashtra: Upper Tapi (m),213.34
Western: Maharashtra: Upper Vaitarna (m),601.95
Western: Maharashtra: Khadakvasla (m),581.1
Western: Maharashtra: Girna (m),396.65
Western: Maharashtra: Yeldari (m),460.77
Western: Maharashtra: Mula (m),551.79
Western: Maharashtra: Isapur (m),439.73
Southern: Karnataka: Narayanpur (m),491.46
Southern: Karnataka: Linganamakki (m),550.39
Southern: Karnataka: Bhadra (m),656.14
Southern: Karnataka: Ghataprabha (m),656.52
Southern: Karnataka: Tungabhadra (m),495.29
Southern: Karnataka: Krishnaraja Sagra (m),751.98
Southern: Telangana: Lower Manair (m),277.51
Eastern: Odisha: Rengali (m),121.78
Eastern: Odisha: Salanadi (m),76.2
Eastern: Odisha: Balimela (m),451.47
Eastern: Odisha: Hirakud (m),191.19
Eastern: Jharkhand: Tilaiya (m),366.9
Eastern: Jharkhand: Konar (m),425.09
Eastern: Jharkhand: Maithon (m),148.68
Eastern: Jharkhand: Tenughat (m),260.09
Western: Maharashtra: Bhima (Ujjani) (m),496.83
Western: Maharashtra: Koyana (m),655.27
Western: Maharashtra: Jayakwadi (Paithon) (m),463.33
Western: Gujarat: Karjan (m),113.57
Western: Gujarat: Sardar Sarovar (m),124.61
Western: Gujarat: Panam (m),122.95
Western: Gujarat: Dantiwada (m),169.5
Western: Gujarat: Damanaganga (m),78.85
Southern: Telangana: Sriramsagar (m),331.87
Southern: Andhra Pradesh: Somasila (m),100.17
Southern: Andhra Pradesh and Telangana: Nagarjuna Sagar (m),176.02
Southern: Andhra Pradesh and Telangana: Srisailam (m),256.4
Central: Chhattisgarh: Mahanadi (m),348.05
Central: Chhattisgarh: Minimata Bangoi (m),355.81
Central: Madhya Pradesh: Barna (m),345.83
Northern: Rajasthan: Rana Pratap Sagar (m),351.41
Northern: Rajasthan: Jhakam (m),356.55
Northern: Rajasthan: Mahi Bajaj Sagar (m),276.05
Northern: Punjab: Thein (m),501.29
Northern: Himachal Pradesh: Pong Dam (m),408.45
Current Reservior Level: Northern: Himachal Pradesh: Gobind Sagar (Bhakra) (m),490.39
Current Reservior Level: Central Region: Chhattisgarh: Tandula (m),328.43
Current Reservior Level: Western Region: Maharashtra: Tillari (m),109.88
Western: Gujarat: Bhadar (m),107.22
Western: Gujarat: Shetrunji (m),55.37
Western: Gujarat: Kadana (m),125.93
Western: Gujarat: Sabarmati (Dharoi) (m),182.9
Western: Gujarat: Ukai (m),103.89
Eastern: Tripura: Gumti (m),90.55
Eastern: West Bengal: Kangsabati (m),133.12
Eastern: West Bengal: Mayurakshi (m),116.85
Eastern: Odisha: Upper Indravati (m),632.13
Central: Madhya Pradesh: Indira Sagar (m),256.32
Central: Madhya Pradesh: Bansagar (m),338.44
Central: Madhya Pradesh: Bargi (m),420.94
Central: Madhya Pradesh: Tawa (m),350.39
Central: Madhya Pradesh: Gandhi Sagar (m),398.2
Central: Uttrakhand: Tehri (m),801.95
India Central: Uttrakhand: Ramganga (m),355.16
Central: Uttar Pradesh: Rihand (m),260.27
Current Reservior Level: Western Region: Maharashtra: Surya (m),116.5
Current Reservior Level: Eastern Region: Odisha: Hariharjhor (m),143.9
Eastern: Odisha: Upper Kolab (m),852.09
Eastern: Odisha: Machkund (Jalput) (m),830.58
Eastern: Odisha: Rengali (m),121.78
Eastern: Odisha: Salanadi (m),76.2
Eastern: Odisha: Balimela (m),451.47
Central: Uttar Pradesh: Matatila (m),305.65
Western: Maharashtra: Bhandardara (m),744.64
Western: Maharashtra: Manikdoh (Kukadi) (m),699.85
Western: Maharashtra: Dudhganga (m),642.32
Western: Maharashtra: Dhom (m),743.95
Western: Maharashtra: Bhatsa (m),132.2
Western: Maharashtra: Upper Wardha (m),340.92
Eastern: Odisha: Hirakud (m),191.19
Eastern: Jharkhand: Tilaiya (m),366.9
Eastern: Jharkhand: Konar (m),425.09
Eastern: Jharkhand: Panchet Hill (m),128.41
Eastern: Jharkhand: Maithon (m),148.68
Eastern: Jharkhand: Tenughat (m),260.09
Northern: Rajasthan: Rana Pratap Sagar (m),351.41
Northern: Rajasthan: Jhakam (m),356.55
Northern: Rajasthan: Mahi Bajaj Sagar (m),276.05
Western: Maharashtra: Pench (Totaladoh) (m),485.83
Western: Maharashtra: Upper Tapi (m),213.34
Western: Maharashtra: Upper Vaitarna (m),601.95
Western: Maharashtra: Khadakvasla (m),581.1
Western: Maharashtra: Girna (m),396.65
Western: Maharashtra: Yeldari (m),460.77
Western: Maharashtra: Mula (m),551.79
Northern: Himachal Pradesh: Pong Dam (m),408.45
Current Reservior Level: Northern: Himachal Pradesh: Gobind Sagar (Bhakra) (m),490.39
Current Reservior Level: Central Region: Chhattisgarh: Tandula (m),328.43
Current Reservior Level: Western Region: Maharashtra: Tillari (m),109.88
Current Reservior Level: Western Region: Maharashtra: Surya (m),116.5
Current Reservior Level: Eastern Region: Odisha: Hariharjhor (m),143.9
Western: Maharashtra: Isapur (m),439.73
Western: Maharashtra: Bhima (Ujjani) (m),496.83
Western: Maharashtra: Koyana (m),655.27
Western: Maharashtra: Jayakwadi (Paithon) (m),463.33
Western: Gujarat: Karjan (m),113.57
Western: Gujarat: Sardar Sarovar (m),124.61
Western: Gujarat: Panam (m),122.95
Western: Gujarat: Dantiwada (m),169.5
Western: Gujarat: Damanaganga (m),78.85
Western: Gujarat: Bhadar (m),107.22
Western: Gujarat: Shetrunji (m),55.37
Western: Gujarat: Kadana (m),125.93
Western: Gujarat: Sabarmati (Dharoi) (m),182.9
Western: Gujarat: Ukai (m),103.89
Eastern: Tripura: Gumti (m),90.55
Eastern: West Bengal: Kangsabati (m),133.12
Eastern: West Bengal: Mayurakshi (m),116.85
Eastern: Odisha: Upper Indravati (m),632.13
Eastern: Odisha: Upper Kolab (m),852.09
Eastern: Odisha: Machkund (Jalput) (m),830.58
Eastern: Jharkhand: Tenughat (m),260.09
Eastern: Odisha: Rengali (m),121.78
Eastern: Odisha: Salanadi (m),76.2
Eastern: Odisha: Balimela (m),451.47
Eastern: Odisha: Hirakud (m),191.19
Eastern: Jharkhand: Tilaiya (m),366.9
Eastern: Jharkhand: Panchet Hill (m),128.41
India Southern (m),"17,382.84"
India Central (m),"7,488.46"
India Northern (m),"3,337.65"
All India (m),"49,259.69"
India Eastern (m),"6,247.26"
India Western (m),"14,809.42"
Southern: Tamil Nadu: Sholayar (m),994.35
Southern: Tamil Nadu: Aliyar (m),316.23
Eastern: Jharkhand: Maithon (m),148.68
Eastern: Jharkhand: Tenughat (m),260.09
Northern: Rajasthan: Rana Pratap Sagar (m),351.41
Northern: Rajasthan: Jhakam (m),356.55
Northern: Rajasthan: Mahi Bajaj Sagar (m),276.05
Northern: Punjab: Thein (m),501.29
Northern: Himachal Pradesh: Pong Dam (m),408.45
Current Reservior Level: Northern: Himachal Pradesh: Gobind Sagar (Bhakra) (m),490.39
Southern: Tamil Nadu: Parambikulam (m),555.19
Southern: Tamil Nadu: Vaigai (m),278.87
Southern: Tamil Nadu: Mettur (Stanley) (m),238.4
Southern: Tamil Nadu: Lower Bhawani (m),278.82
Southern: Kerala: Malapmuzha (m),111.6
Southern: Kerala: Periyar (m),867.42
Southern: Kerala: Kakki (m),976.71
Current Reservior Level: Central Region: Chhattisgarh: Tandula (m),328.43
Current Reservior Level: Western Region: Maharashtra: Tillari (m),109.88
Current Reservior Level: Western Region: Maharashtra: Surya (m),116.5
Current Reservior Level: Eastern Region: Odisha: Hariharjhor (m),143.9
Southern: Kerala: Idukki (m),729.03
Southern: Kerala: Idamalayar (m),162.34
Southern: Kerala: Kallada (Parappar) (m),111.59
Southern: Karnataka: Gerusoppa (m),49.17
Southern: Karnataka: Almatti (m),518.32
Southern: Karnataka: Vanivilas Sagar (m),650.64
Southern: Karnataka: Supa (m),551.1
Southern: Karnataka: Harangi (m),870.68
Southern: Karnataka: Hemavathy (m),886.29
Southern: Karnataka: Kabini (Sancherla Tank) (m),695.71
Southern: Karnataka: Malaprabha (Renuka) (m),632.1
Southern: Karnataka: Narayanpur (m),491.46
Southern: Karnataka: Linganamakki (m),550.39
Southern: Karnataka: Bhadra (m),656.14
Southern: Karnataka: Ghataprabha (m),656.52
Southern: Karnataka: Tungabhadra (m),495.29
Southern: Karnataka: Krishnaraja Sagra (m),751.98
Southern: Telangana: Lower Manair (m),277.51
Southern: Telangana: Sriramsagar (m),331.87
Southern: Andhra Pradesh: Somasila (m),100.17
Southern: Andhra Pradesh and Telangana: Nagarjuna Sagar (m),176.02
Southern: Andhra Pradesh and Telangana: Srisailam (m),256.4
Central: Chhattisgarh: Mahanadi (m),348.05
Central: Chhattisgarh: Minimata Bangoi (m),355.81
Central: Madhya Pradesh: Barna (m),345.83
Central: Madhya Pradesh: Indira Sagar (m),256.32
Central: Madhya Pradesh: Bansagar (m),338.44
Central: Madhya Pradesh: Bargi (m),420.94
Central: Madhya Pradesh: Tawa (m),350.39
Central: Madhya Pradesh: Gandhi Sagar (m),398.2
Central: Uttrakhand: Tehri (m),801.95
India Central: Uttrakhand: Ramganga (m),355.16
Central: Uttar Pradesh: Rihand (m),260.27
Central: Uttar Pradesh: Matatila (m),305.65
Western: Maharashtra: Bhandardara (m),744.64
Western: Maharashtra: Manikdoh (Kukadi) (m),699.85
Western: Maharashtra: Dudhganga (m),642.32
Western: Maharashtra: Dhom (m),743.95
Western: Maharashtra: Bhatsa (m),132.2
Western: Maharashtra: Upper Wardha (m),340.92
Western: Maharashtra: Pench (Totaladoh) (m),485.83
Western: Maharashtra: Upper Tapi (m),213.34
Western: Maharashtra: Upper Vaitarna (m),601.95
Western: Maharashtra: Khadakvasla (m),581.1
Western: Maharashtra: Girna (m),396.65
Western: Maharashtra: Yeldari (m),460.77
Western: Maharashtra: Mula (m),551.79
Western: Maharashtra: Isapur (m),439.73
Western: Maharashtra: Bhima (Ujjani) (m),496.83
Western: Maharashtra: Koyana (m),655.27
Western: Maharashtra: Jayakwadi (Paithon) (m),463.33
Western: Gujarat: Karjan (m),113.57
Western: Gujarat: Sardar Sarovar (m),124.61
Western: Gujarat: Panam (m),122.95
Western: Gujarat: Dantiwada (m),169.5
Western: Gujarat: Damanaganga (m),78.85
Western: Gujarat: Bhadar (m),107.22
Western: Gujarat: Shetrunji (m),55.37
Western: Gujarat: Kadana (m),125.93
Western: Gujarat: Sabarmati (Dharoi) (m),182.9
Western: Gujarat: Ukai (m),103.89
Eastern: Tripura: Gumti (m),90.55
Eastern: West Bengal: Kangsabati (m),133.12
Eastern: West Bengal: Mayurakshi (m),116.85
Eastern: Odisha: Upper Indravati (m),632.13
Eastern: Odisha: Upper Kolab (m),852.09
Eastern: Odisha: Machkund (Jalput) (m),830.58
Eastern: Odisha: Rengali (m),121.78
Eastern: Odisha: Salanadi (m),76.2
Eastern: Odisha: Balimela (m),451.47
Eastern: Odisha: Hirakud (m),191.19
Eastern: Jharkhand: Tilaiya (m),366.9
Eastern: Jharkhand: Konar (m),425.09
Eastern: Jharkhand: Panchet Hill (m),128.41
Eastern: Jharkhand: Maithon (m),148.68
Northern: Rajasthan: Rana Pratap Sagar (m),351.41
Northern: Rajasthan: Jhakam (m),356.55
Northern: Rajasthan: Mahi Bajaj Sagar (m),276.05
Northern: Punjab: Thein (m),501.29
Northern: Himachal Pradesh: Pong Dam (m),408.45
Current Reservior Level: Northern: Himachal Pradesh: Gobind Sagar (Bhakra) (m),490.39
Current Reservior Level: Central Region: Chhattisgarh: Tandula (m),328.43
Current Reservior Level: Western Region: Maharashtra: Tillari (m),109.88
Current Reservior Level: Western Region: Maharashtra: Surya (m),116.5
Current Reservior Level: Eastern Region: Odisha: Hariharjhor (m),143.9
Eastern: Jharkhand: Maithon (m),148.68
India Southern (m),"17,382.84"
India Central (m),"7,488.46"
India Northern (m),"3,337.65"
All India (m),"49,259.69"
India Eastern (m),"6,247.26"
India Western (m),"14,809.42"
Southern: Tamil Nadu: Sholayar (m),994.35
Southern: Tamil Nadu: Aliyar (m),316.23
Southern: Tamil Nadu: Parambikulam (m),555.19
Southern: Tamil Nadu: Vaigai (m),278.87
Southern: Tamil Nadu: Mettur (Stanley) (m),238.4
Southern: Tamil Nadu: Lower Bhawani (m),278.82
Southern: Kerala: Malapmuzha (m),111.6
Southern: Kerala: Periyar (m),867.42
Southern: Kerala: Kakki (m),976.71
Southern: Kerala: Idukki (m),729.03
Southern: Kerala: Idamalayar (m),162.34
Southern: Kerala: Kallada (Parappar) (m),111.59
Southern: Karnataka: Gerusoppa (m),49.17
Southern: Karnataka: Almatti (m),518.32
Southern: Karnataka: Vanivilas Sagar (m),650.64
Southern: Karnataka: Supa (m),551.1
Southern: Karnataka: Harangi (m),870.68
Southern: Karnataka: Hemavathy (m),886.29
Southern: Karnataka: Kabini (Sancherla Tank) (m),695.71
Southern: Karnataka: Malaprabha (Renuka) (m),632.1
Southern: Karnataka: Narayanpur (m),491.46
Southern: Karnataka: Linganamakki (m),550.39
Southern: Karnataka: Bhadra (m),656.14
Southern: Karnataka: Ghataprabha (m),656.52
Southern: Karnataka: Tungabhadra (m),495.29
Southern: Karnataka: Krishnaraja Sagra (m),751.98
Southern: Telangana: Lower Manair (m),277.51
Southern: Telangana: Sriramsagar (m),331.87
Southern: Andhra Pradesh: Somasila (m),100.17
Southern: Andhra Pradesh and Telangana: Nagarjuna Sagar (m),176.02
Southern: Andhra Pradesh and Telangana: Srisailam (m),256.4
Central: Chhattisgarh: Mahanadi (m),348.05
Central: Chhattisgarh: Minimata Bangoi (m),355.81
Central: Madhya Pradesh: Barna (m),345.83
Central: Madhya Pradesh: Indira Sagar (m),256.32
Central: Madhya Pradesh: Bansagar (m),338.44
Central: Madhya Pradesh: Bargi (m),420.94
Central: Madhya Pradesh: Tawa (m),350.39
Central: Madhya Pradesh: Gandhi Sagar (m),398.2
Central: Uttrakhand: Tehri (m),801.95
India Central: Uttrakhand: Ramganga (m),355.16
Central: Uttar Pradesh: Rihand (m),260.27
Central: Uttar Pradesh: Matatila (m),305.65
Western: Maharashtra: Bhandardara (m),744.64
Western: Maharashtra: Manikdoh (Kukadi) (m),699.85
Western: Maharashtra: Dudhganga (m),642.32
Western: Maharashtra: Dhom (m),743.95
Western: Maharashtra: Bhatsa (m),132.2
Western: Maharashtra: Upper Wardha (m),340.92
Western: Maharashtra: Pench (Totaladoh) (m),485.83
Western: Maharashtra: Upper Tapi (m),213.34
Western: Maharashtra: Upper Vaitarna (m),601.95
Western: Maharashtra: Khadakvasla (m),581.1
Western: Maharashtra: Girna (m),396.65
Western: Maharashtra: Yeldari (m),460.77
Western: Maharashtra: Mula (m),551.79
Western: Maharashtra: Isapur (m),439.73
Western: Maharashtra: Bhima (Ujjani) (m),496.83
Western: Maharashtra: Koyana (m),655.27
Western: Maharashtra: Jayakwadi (Paithon) (m),463.33
Western: Gujarat: Karjan (m),113.57
Western: Gujarat: Sardar Sarovar (m),124.61
Western: Gujarat: Panam (m),122.95
Western: Gujarat: Dantiwada (m),169.5
Western: Gujarat: Damanaganga (m),78.85
Western: Gujarat: Bhadar (m),107.22
Western: Gujarat: Shetrunji (m),55.37
Western: Gujarat: Kadana (m),125.93
Western: Gujarat: Sabarmati (Dharoi) (m),182.9
Western: Gujarat: Ukai (m),103.89
Eastern: Tripura: Gumti (m),90.55
Eastern: West Bengal: Kangsabati (m),133.12
Eastern: West Bengal: Mayurakshi (m),116.85
Eastern: Odisha: Upper Indravati (m),632.13
Eastern: Odisha: Upper Kolab (m),852.09
Eastern: Odisha: Machkund (Jalput) (m),830.58
Eastern: Odisha: Rengali (m),121.78
Eastern: Odisha: Salanadi (m),76.2
Eastern: Odisha: Balimela (m),451.47
Eastern: Odisha: Hirakud (m),191.19
Eastern: Jharkhand: Tilaiya (m),366.9
Eastern: Jharkhand: Konar (m),425.09
Eastern: Jharkhand: Panchet Hill (m),128.41
Eastern: Jharkhand: Tenughat (m),260.09
Northern: Rajasthan: Rana Pratap Sagar (m),351.41
Northern: Rajasthan: Jhakam (m),356.55
Northern: Rajasthan: Mahi Bajaj Sagar (m),276.05
Northern: Punjab: Thein (m),501.29
Northern: Himachal Pradesh: Pong Dam (m),408.45
Current Reservior Level: Northern: Himachal Pradesh: Gobind Sagar (Bhakra) (m),490.39
Current Reservior Level: Central Region: Chhattisgarh: Tandula (m),328.43
Current Reservior Level: Western Region: Maharashtra: Tillari (m),109.88
Current Reservior Level: Western Region: Maharashtra: Surya (m),116.5
Current Reservior Level: Eastern Region: Odisha: Hariharjhor (m),143.9
Eastern: Odisha: Balimela (m),451.47
India Southern (m),"17,382.84"
India Central (m),"7,488.46"
India Northern (m),"3,337.65"
All India (m),"49,259.69"
India Eastern (m),"6,247.26"
India Western (m),"14,809.42"
Southern: Tamil Nadu: Sholayar (m),994.35
Southern: Tamil Nadu: Aliyar (m),316.23
Southern: Tamil Nadu: Parambikulam (m),555.19
Southern: Tamil Nadu: Vaigai (m),278.87
Southern: Tamil Nadu: Mettur (Stanley) (m),238.4
Southern: Tamil Nadu: Lower Bhawani (m),278.82
Southern: Kerala: Malapmuzha (m),111.6
Southern: Kerala: Periyar (m),867.42
Southern: Kerala: Kakki (m),976.71
Southern: Kerala: Idukki (m),729.03
Southern: Kerala: Idamalayar (m),162.34
Southern: Kerala: Kallada (Parappar) (m),111.59
Southern: Karnataka: Gerusoppa (m),49.17
Southern: Karnataka: Almatti (m),518.32
Southern: Karnataka: Vanivilas Sagar (m),650.64
Southern: Karnataka: Supa (m),551.1
Southern: Karnataka: Harangi (m),870.68
Southern: Karnataka: Hemavathy (m),886.29
Southern: Karnataka: Kabini (Sancherla Tank) (m),695.71
Southern: Karnataka: Malaprabha (Renuka) (m),632.1
Southern: Karnataka: Narayanpur (m),491.46
Southern: Karnataka: Linganamakki (m),550.39
Southern: Karnataka: Bhadra (m),656.14
Southern: Karnataka: Ghataprabha (m),656.52
Southern: Karnataka: Tungabhadra (m),495.29
Southern: Karnataka: Krishnaraja Sagra (m),751.98
Southern: Telangana: Lower Manair (m),277.51
Southern: Telangana: Sriramsagar (m),331.87
Southern: Andhra Pradesh: Somasila (m),100.17
Southern: Andhra Pradesh and Telangana: Nagarjuna Sagar (m),176.02
Southern: Andhra Pradesh and Telangana: Srisailam (m),256.4
Central: Chhattisgarh: Mahanadi (m),348.05
Central: Chhattisgarh: Minimata Bangoi (m),355.81
Central: Madhya Pradesh: Barna (m),345.83
Central: Madhya Pradesh: Indira Sagar (m),256.32
Central: Madhya Pradesh: Bansagar (m),338.44
Central: Madhya Pradesh: Bargi (m),420.94
Central: Madhya Pradesh: Tawa (m),350.39
Central: Madhya Pradesh: Gandhi Sagar (m),398.2
Central: Uttrakhand: Tehri (m),801.95
India Central: Uttrakhand: Ramganga (m),355.16
Central: Uttar Pradesh: Rihand (m),260.27
Central: Uttar Pradesh: Matatila (m),305.65
Western: Maharashtra: Bhandardara (m),744.64
Western: Maharashtra: Manikdoh (Kukadi) (m),699.85
Western: Maharashtra: Dudhganga (m),642.32
Western: Maharashtra: Dhom (m),743.95
Western: Maharashtra: Bhatsa (m),132.2
Western: Maharashtra: Upper Wardha (m),340.92
